Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralieninmg/Liter;Mineralisation
Abenstaler;3.00;0.80;27.00;61.00;0.05;3.60;10.90;307.00;1.60;0.005;0.21;415.16;extremgering
Adelholzener;10.00;1.10;31.00;69.80;0.0;22.50;23.10;330.00;0.11;0.0;0.22;487.83;extremgering
Adldorfer;3.80;1.00;29.00;87.00;0.0;5.50;23.00;383.00;0.10;0.0;0.20;532.60;gering
Adellospritzig/still;0.97;0.42;6.97;46.30;0.0;0.35;125.00;22.90;0.0;0.0;0.04;202.95;extremgering
Alaska;4.20;1.50;2.20;12.70;0.05;4.80;3.00;46.60;0.50;0.0;0.2;75.00;extremgering
AlbertusQuelle;8.30;1.40;30.00;57.00;0.0;0.0;8.30;339.00;0.0;0.0;0.10;444.10;extremgering
Allgaeuer;18.00;1.10;22.00;40.00;0.0;0.80;7.90;271.00;0.30;0.0;0.10;361.20;extremgering
Altmuehltaler;45.60;28.80;11.20;47.50;0.16;0.80;64.00;283.00;0.0;0.0;0.50;481.56;extremgering
Ambassador;7.50;1.50;2.80;24.70;0.0;14.80;74.30;391.00;0.0;0.0;0.0;516.60;gering
AnhaltinerBergquell;83.40;6.50;82.70;190.50;0.0;112.00;495.00;379.00;1.00;0.0;0.0;1349.10;mittel
Apollinaris;470.00;30.00;120.00;90.00;0.0;130.00;100.00;1800.00;0.00;0.0;0.0;2740.00;sehrstark
AquaFrisch;9.99;2.33;32.70;124.00;0.0;19.50;208.00;295.00;0.0;0.0;0.0;691.52;gering
AquaRoemer;18.20;3.66;48.60;561.00;0.01;6.80;1410.00;183.00;0.20;0.0;0.23;2231.69;stark
Astoria;3.50;2.10;40.10;219.10;0.0;4.60;499.20;244.60;2.80;0.0;0.50;1016.00;mittel
BadBrambacher;14.60;1.30;7.00;22.60;0.01;4.50;11.10;112.00;0.50;0.005;0.34;173.44;extremgering
BadBrueckeuer;2.40;2.70;3.90;14.30;0.008;4.20;4.60;60.00;0.0;0.0;0.07;92.18;extremgering
