Mineralwaesser;Natrium;Kalium;Magnesium;Calcium;Mangan;Chlorid;Sulfat;Hydrogencarbonat;Nitrat;Nitrit;Fluorid;Gesamt-Mineralien in mg/Liter;Mineralisation
Abenstaler;3.00;0.80 ;27.00 ;61.00 ;0.05 ;3.60 ;10.90 ;307.00 ;1.60 ;<0.005 ;0.21 ;415.16 ;extrem gering 
Adelholzener ;10.00;1.10 ;31.00 ;69.80 ; ;22.50 ;23.10 ;330.00 ;0.11 ; ;0.22 ;487.83 ;extrem gering
Abenstaler;3.00;0.80;27.00;61.00;0.05;3.60;10.90;307.00;1.60;< 0.005;0.21;415.16;extrem gering
Adelholzener;10.00;1.10;31.00;69.80; ;22.50;23.10;330.00;0.11; ;0.22;487.83;extrem gering
Adldorfer;3.80;1.00;29.00;87.00; ;5.50;23.00;383.00;0.10; ;0.20;532.60;gering
Adello spritzig/still;0.97;0.42;6.97;46.30; ;0.35;125.00;22.90; ; ;0.04;202.95;extrem gering
Alaska;4.20;1.50;2.20;12.70;<0.05;4.80;3.00;46.60;<0.50; ;<0.2;75.00;extrem gering
Albertus Quelle;8.30;1.40;30.00;57.00; ; ;8.30;339.00; ; ;0.10;444.10;extrem gering
Allgaeuer;18.00;1.10;22.00;40.00; ;0.80;7.90;271.00;0.30; ;0.10;361.20;extrem gering
Altmuehltaler;45.60;28.80;11.20;47.50;0.16;0.80;64.00;283.00; ; ;0.50;481.56;extrem gering
Ambassador;7.50;1.50;2.80;24.70; ;14.80;74.30;391.00; ; ; ;516.60;gering
Anhaltiner Bergquell;83.40;6.50;82.70;190.50; ;112.00;495.00;379.00;<1.00; ; ;1349.10;mittel
Apollinaris;470.00;30.00;120.00;90.00; ;130.00;100.00;1800.00;0.00; ; ;2740.00;sehr stark
Aqua Frisch;9.99;2.33;32.70;124.00; ;19.50;208.00;295.00; ; ; ;691.52;gering
Aqua Roemer;18.20;3.66;48.60;561.00;<0.01;6.80;1410.00;183.00;0.20; ;0.23;2231.69;stark
Astoria;3.50;2.10;40.10;219.10; ;4.60;499.20;244.60;2.80; ;<0.50;1016.00;mittel
Bad Brambacher;14.60;1.30;7.00;22.60;<0.01;4.50;11.10;112.00;<0.50;<0.005;0.34;173.44;extrem gering
Bad Brueckenauer;2.40;2.70;3.90;14.30;0.008;4.20;4.60;60.00; ; ;<0.07;92.18;extrem gering
Bad Duerrheimer;7.30;2.30;49.50;363.00; ;15.70;788.00;368.00;0.50; ;0.53;1594.83;mittel
Bad Kissinger;64.00;14.90;18.30;33.00; ;2.20;16.80;369.00; ; ; ;518.20;gering
Bad Liebenwerda;7.20;1.70;3.00;16.10;0.02;5.00;63.00;<3.0;<0.50; ;<0.2;96.02;extrem gering
Bad Vilbel Elisabeth;6.30;5.40;20.20;110.00; ;6.30;43.00;397.00; ; ; ;588.20;gering
Bad Vilbel Urquelle;89.90;12.00;24.00;157.00; ;87.90;38.00;657.00; ; ; ;1065.80;mittel
Basinus Koenigsquelle;324.00;19.70;100.00;593.00;<0.05;460.00;1570.00;389.00;<5.00;<0.02;0.33;3461.10;extrem stark
Basinus Sinusquelle;11.10;2.80;10.10;70.00;<0.05;10.40;16.00;260.00;0.60;<0.02;0.4;381.40;extrem gering
